content,score,at,translated_review
"Gak bisa daftar , percuma di download, udah masukin nomor hp malah keterangan nya terjadi kesalahan, saya coba berkali2 bahkan sampe pake 3 nomor semua nya gak ada yang bisa login, saya uninstall aja daripada darah tinggi saya naik",1,2025-01-23 14:06:02,cant register useless download entered cellphone number instead information happened tried many time even used number could log uninstall instead high blood pressure
"Ada kemungkinan kita bayar tapi tidak bisa menggunakan aplikasinya. Aku saya tiba-tiba tidak bisa diakses, alasannya karna banyak yang menggunakan akun saya, padahal cuma login di 2 hp. masih dibawah batas maksimal pemakaian akun. Jadinya seperti sampah ini aplikasi.",1,2025-01-23 10:53:43,possibility pay use application suddenly cant accessed reason many use account even though log cellphone still maximum limit account usage like garbage application
Aplikasi Tidak Berguna. Pajang saja di lemari kalau tidak dapat digunakan.,1,2025-01-23 09:48:01,useless application display closet cant used
"Kenapa yah Disney ku kok ada tulisan sepertinya anda menggunakan pvn, proxy atau lainnya. Padahal semuanya gk aktif. Jdi gk bisa buka apk. Mohon gmna cara atasi nya biar bisa d buka lagi.",2,2025-01-23 05:03:39,disney come writing seems like use pvn proxy even though everything active cant open apk please overcome open
"semua sudah bagus, hanya ada sedikit keluhan saat meng-skip video yang terlalu jauh, suaranya terkadang berubah",2,2025-01-22 15:30:52,everything good complaint skipping video far away sound sometimes change
"Vidionya hanya muncul suara doang, layarnya gelap",1,2025-01-22 10:44:28,video appears sound screen dark
"Aplikasi g jelas, udah langganan tapi g bisa login, kode otp nya error terus",1,2025-01-22 05:26:52,g app clear subscription login otp code error
Aplikasinya instal ulang terus,1,2025-01-21 17:21:01,application reinstalling
"Aplikasi bangke, beli paket indihome bundle disney hotstar, sudah lancar bayarnya tapi giliran dibuka aplikasi malah suruh berlangganan. Sudah di laporkan ke pihak indihome tapi dari pihak disneynya sepertinya masa bodo tidak mau memperbaiki masalahnya",1,2025-01-21 12:15:19,bangke application buy indihome bundle disney hotstar package payment smooth turn open application even told subscribe reported indihome disney seems like bodo period want fix problem
apa bae dah nih aplikasi ga niat bener,1,2025-01-21 11:31:20,application intention right
Ini kenapa ada suara tapi nggak ada gambarnya Kecewa banget Mending pake netflix,1,2025-01-21 08:43:55,sound picture disappointed use netflix
jelek,1,2025-01-21 01:10:07,sign
Error terus..Tidak bisa login..,1,2025-01-20 13:06:57,error continues cant log
"kenapa ga bisa login sih, otp error mulu dah bayar langganan juga",1,2025-01-20 06:22:03,cant log otp error must pay subscription
"Gak bisa masuk OTP error terus pdhal udah berlangganan terakhir hari Sabtu masih bisa nonton, dr hari Minggu sampai sekarang error terus . .",1,2025-01-20 05:06:40,cant enter otp error pdhal subscribed last saturday still still watch sunday error continues
Kok udah berhenti langganan masih otomatis bayar gimana ya,1,2025-01-19 18:56:05,come subscription stopped still pay automatically
"Nonton blooo,on berlangganan, taii👎👎👎👎👎👎👎👎💵💵💵💵💵😏💵💵",1,2025-01-19 13:46:42,watch blooo subscription taii👎👎👎👎👎👎👎👎💵💵💵💵💵😏💵💵
Udah gw keluarin dari tv biar bisa nonton di hp tetep aja gak bisa lebih dari satu katanya yang nonton tod. Gimana ini gw mau nonton jadi gk mood dah nyesel gw mending netflix,1,2025-01-19 11:48:31,already came tv could watch cellphone couldnt one said watching tod want watch mood regret better netflix
Bagus sih TPI knp harus premium,1,2025-01-19 11:43:21,good premium
Aneh,1,2025-01-19 11:27:04,strange
"Aplikasinya jelek, mau login susahnya minta ampun, 😑",1,2025-01-19 10:18:43,application bad want log hard ask forgiveness 😑
"Langganan indihome paket jitu 1 (plus disney hot star gratis) tapi sejak bulan januari 2025 disney hot starnya gak bisa di mainkan, di minta untuk berlangganan lagi, pafahal sudah bayar include paket indihome",1,2025-01-19 07:35:25,indihome subscription package plus free disney hot star since january disney hot star played asked subscribe even though paid indihome package including indihome package
Mendukung isruul,1,2025-01-19 06:25:14,support isruul
Boycott!,1,2025-01-19 05:56:24,boycott
"Malamnya byr langganan,paginya ga bisa di tonton..tlong trf kembali uang sya ?? Aplikasi PENIPU!!!!!!!",1,2025-01-19 02:15:33,evening byr subscription morning cant watched tlong trf return money fraud application
Jelek bgt. Rugi nyoba langganan disini.,1,2025-01-18 18:02:39,really ugly loss try subscription
Cepet donglot ya,5,2025-01-18 17:20:16,cepet donglot ya
Black out,1,2025-01-18 16:38:30,black
saya belum coba aplikasi nya tapi saya yakin aplikasi ini bisa menjadi yang terbaik,4,2025-01-18 14:52:40,havent tried application im sure application best
"Cuih, bayar doang apk ga di urus, bug udah 2 hari blum di fix, masa suruh denger audio doang kontol, percuma bayar",1,2025-01-18 14:20:04,cuih pay apk take care bug already day hasnt fix time told hear audio dick useless pay
lumayan boy,4,2025-01-18 09:18:11,pretty boy
"tampilannya hd, cuma pas rewatch beberapa film ada scene yg ke potong, jadi males lanjut nonton karna ga nyambung, 65rb rugi sih mending netflix",3,2025-01-18 07:16:59,look hd film scene go piece lazy continue watching doesnt connect rb loses better netflix
😡😡😡😡😡😡😡😡😡😡😡😡😡,1,2025-01-17 23:18:23,
india semua jir,1,2025-01-17 06:52:42,india jirs
Gawwwd deyemm,1,2025-01-17 04:37:48,gawwwd deyemm
BOYCOTT 👊😒,1,2025-01-16 16:52:17,boycott 👊😒
Di perangkat tablet Huawei tidak bisa di download karena tidak tersedia di negara andda. Padahal di HP & device lain tersedia.,1,2025-01-16 16:52:04,huawei tablet device downloaded available andda even though hp device available
Apk tidak bisa di buka,1,2025-01-16 12:21:36,apk cant opened
tidak bisa berlangganan payah ini aplikasi,1,2025-01-16 11:30:38,cant subscribe application
Ini kenapa Disney+ gua gabisa dibuka ya? Tulisannya karena vpn/proxy padahal ngerasa gapernah pake vpn... pls banget inimah:))),1,2025-01-16 04:13:45,disney open writing vpnproxy even though feel like using vpn really
nyari harry Potter aja gak muncul gak di temukan apaaan NAJIS Udah berlangganan padahal Acuih,1,2025-01-15 21:57:24,looking harry potter appeared found unclean already subscribed even though acuih
"setelah melihat penilaian orang-orang, saya tidak jadi berlangganan aplikasi ini🤣",1,2025-01-15 20:27:44,seeing people judgment subscribe application🤣
Pas nonton sering nge leg padahal udah vip,1,2025-01-15 20:19:18,pa watch often nge leg vip
"Aplikasi sampah, sudah langganan gak bisa di buka",1,2025-01-15 13:45:52,garbage application already subscribed unable open
No komen,1,2025-01-15 10:38:14,komen
Gua sih gak papa yang penting bisa nonton film,5,2025-01-15 10:03:25,im okay important thing watch movie
Udah masukin kode otp yg benar tapi tetap tidak bisa log in,1,2025-01-15 03:11:15,already entered correct otp code still cant log
"knp ya pdhln udh bner nmor tlvn nya kok gada masuk kode Verifikasi otp nya, udh coba hps apk nya trs donwload lgi percuma!!",1,2025-01-15 02:34:48,even though tlvn included otp verification code tried hp apk download useless
Best,1,2025-01-15 01:14:39,best
"Padahal film nya bagus"" tpi sayang bngt dikit"" loading terusssssssss",2,2025-01-14 14:32:20,even though film good unfortunately little loading pussssssssss
Lumayan kalau lagi senggang buat nonton film,5,2025-01-14 14:17:57,bad youre free watching movie
"Ini aplikasi apaan sih ada suaranya gaada gambarnya, berkali kali hapus aplikasi terus di instal ulang tetep gambar ga muncul, udah ganti jaringan wifi ke data tetep eror, kapok lah baru pertama kali langganan disney gamau langganan lagi mending pakai aplikasi sebelah gapernah eror trs login lebih simple ga pake otp"" segala",1,2025-01-14 13:07:42,application sound voice picture repeatedly deleted application reinstalled image doesnt appear changed wifi network data first time disney subscription like subscription better use application next
Apk g guna. Udh daftar udah masukin kode gk bisa juga,1,2025-01-14 12:09:35,apk g use udh list entered gk code well
"Berlangganan melalui paket Indihome. Tiba2 dinyatakan stop berlangganan. Padahal bayaran masih pakai harga paket Disney. Lapor Sabtu, Senin di follow up dari Indihome. Masih tidak bisa nonton Disney.",1,2025-01-14 11:27:42,subscribe indihome package suddenly declared subscription stop even though payment still us price disney package report saturday monday follow indihome still cant watch disney
So many bug. Black screen with subs and sound. 😒,2,2025-01-14 10:35:29,many bug black screen sub sound 😒
NAJIS JIYONIS,1,2025-01-14 07:18:14,jiyoniss stool
"Ikutan ah bintang 1 mau langgana rating jelek gak jadi,",1,2025-01-14 05:01:50,ikutan ah star want jerked jerk
"Mantap, bisa nonton Marvel series",5,2025-01-13 23:04:22,great watch marvel series
"kenapa tdk ada gambarnya terus setiap di setel, sudah uninstal trus instal lagi tetep kaya gitu , layar gelap suara film ada",2,2025-01-13 16:09:15,picture every time set uninstalled install still like dark screen sound film
"PADAHAL BELUM PAS WAKTUNYA, MAIN POTONG SALDO AJA",1,2025-01-13 15:16:03,even though right time play balance
Mahalll,1,2025-01-13 09:04:39,mahallel
"Bagus. Dub Indonesia nya juga mantap. Gak rugi langganan di sini. Tapi coba tolong brightness nya lebih diterangi, gelap banget soalnya. Lampu hp udah mentok tetap gelap.",5,2025-01-13 07:08:17,good dub indonesia also great loss subscription try help brightness illuminated really dark hp light stuck still dark
Lemotttt,1,2025-01-13 04:39:47,lemotttt
"sayang bngt udah di paketn malah gk bisa masuk apes"" melayang",1,2025-01-12 22:28:02,shame already package cant even go floating
Sudah berhari-hari kalau mau nonton filmnya gak ada gambar tapi ada suara. Ada apakah dgn Disney+Hotstar? Tolong segera diatasi.,1,2025-01-12 11:35:52,day want watch movie picture sound whats disneyhotstar please overcome immediately
login saja susah,1,2025-01-12 03:09:27,login difficult
Aku pengen nonton tapi harus banget langganan aku cuma mau nonton harus banget ya bayar udah gitu mahal lagi 65RB aku gak mau langganan cuma mau nonton,1,2025-01-12 02:29:25,want watch really subscribed want watch must really paid already expensive thousand dont want subscribed want watch
gabisa login,1,2025-01-12 00:30:47,cant log
"Bagusss,klo ad mslh tinggal email ke kakak disneynya kakanny ramah dan sllu mengusahakan kendala yg dihadapi teratasi",5,2025-01-11 06:57:18,good email disney brother friendly make obstacle faced resolved
bikin nostalgia,5,2025-01-11 02:34:31,make nostalgia
WOKEE,1,2025-01-10 16:00:47,wokee
Mau login saja susah amat,1,2025-01-10 13:04:20,want login difficult
Kenapa gbisa di buka?,1,2025-01-10 11:01:37,open
Tolong lah bulanan nya mahal,1,2025-01-10 07:35:37,please help monthly
Bagus banget tapi sayangnya beberapa bulan kemudian harus bayar...,4,2025-01-10 01:35:02,good unfortunately month later pay
Ga kayak dulu,1,2025-01-09 15:36:51,like
"Pas udah langganan baru liat satu film udah gak bisa dibuka aplikasinya, tolong banget disney ini mah harus dibenerin padahal filmnya bagus2 dan kualitas gambarnya juga keren padahal. Nanti kalo udah bisa lagii aku tambah bintang, oke makasih☺️",5,2025-01-09 14:58:06,subscribed see film application cant opened please really disney must generated even though film good picture quality also cool even though later add star okay thanksrated
"Kenapa baru langganan langsung gak bisa, error , tolong dong",5,2025-01-09 10:42:37,direct subscription error please please
"Tolong ya demi kebaikan, ada yang harus di perbaiki yaitu kode error terus jadi kesusahan semua udah di lakuin terus lebih gampang login di website ketimbang aplikasi nya jujur kangen disney+ awal awal kemunculan nya ga bermasalah dan harga nya terjangkau",5,2025-01-09 07:50:51,please yes good something must improved namely error code continues difficult everything done continues log website application honestly miss disney beginning appearance problematic price affordable
"Dulu makan banget data tapi resolusi sama pilihan film nya banyak,,sekarang semua harus berlangganan jadi uninstal deh😭",2,2025-01-09 06:40:09,used eat data resolution lot film choice must subscribe uninstalled
"uday download tpi blm cobaa, gtw sama ga kaya Netflix",5,2025-01-09 05:17:12,uday download try come like netflix
"loading terus suka log out sendiri, ujung2 nya error, yg disalahin jaringan padahal jaringan bagus",1,2025-01-08 14:02:03,loading continues like log edge error missed network even though network good
Aplikasi nya bagus banget di mana saya fans Disney lagi Btw semangat hadapin orang yang ngaku ngaku apk nya ngelag TPI mereka gak lihat kondisi hp kentang mereka dluan,5,2025-01-08 11:47:50,application really good disney fan btw face people claim admit apk lagging dont see condition potato cellphone
Beli langganan yang satu tahun uang sudah di ambil tapi masih aj suruh berlanganan lagi ga bisa di akses selalu error gimana ini kirim email ga di bales-bales saya merasa di rugikan.....,5,2025-01-08 08:49:22,buy subscription one year money taken still told go anymore cant accessed always error send email bale
Apk,1,2025-01-07 20:54:02,apk
"Kode verifikasinya udah benar, tapi error terus",1,2025-01-07 11:51:11,verification code correct error continues
"Tolol, ngebug terus",1,2025-01-07 11:01:06,tolol strip straight
"Subtitle terlalu kecil, bikin sakit mata kalo nonton di hp",2,2025-01-07 04:09:57,subtitle small making eye pain watching cellphone
Cara stop berlangganan gimana ya,3,2025-01-07 01:56:47,stop subscription
"tolong saya ingin refund, setelah berlangganan tidak bisa nonton alias muter2 terus ( loading ) padahal jaringan bagus",1,2025-01-07 00:55:33,please want refund subscribing cant watch aka around loading even though network good
Kecewa masa prabayar skrg jd gbsa nonton Indonesia idol,1,2025-01-06 15:47:59,disappointed prepaid watched indonesia idol
Aplikasi nya tidk bisa di daftarr,1,2025-01-06 12:09:51,application list
Sangat mengecewakan apk ini.,1,2025-01-06 11:59:01,disappointing apk
Bagimana mau nonton semua harus bayar pas udah bayar eh malah eorror BALIKI UANG KU TOLOL DAYLAH CAPEK,1,2025-01-06 10:36:11,want watch everyone pay already pay eh even eorror backed money stupid tired
"HATI2 BUAT YANG NIAT BERLANGGANAN DISNEY, KARNA SANGAT SULIT KEMBALI DISAAT INGIN PEMBERHENTIAN BERLANGGANAN , SAYA SUDAH MELAKUKAN TAHAP PEMBERHENTIAN BERLANGGANAN DISNEY PLUS HINGGA SAYA YAKINI 2X DAN SUDAH SAYA HAPUS APLIKASI DISNEYPUN, NAMUN TETAP TAGIHAN SENILAI RP. 799.000. MASUK KE KARTU KREDIT SAYA, SAYA MERASA SANGAT DIRUGIKAN DAN KECEWA. BURUKNYA APLIKASI INI TDK MENYENDIAKAN LIVE CHAT COSTUMER UTK FAST RESPON 😡👎👎👎👎",1,2025-01-06 01:59:27,careful intention subscribing disney difficult return want dismiss subscription done disney plus subscription stopping stage believe x deleted disney application still bill worth rp entering credit card felt disadvantaged disappointed poor application serve live chat customer fast response 😡👎👎👎👎
Jelek banget mending Netflix,1,2025-01-05 14:07:15,really bad netflix
Aplikasi lemottt,1,2025-01-05 12:34:55,lemottt application
susah banget buat login,1,2025-01-05 12:32:54,really hard login
"tidak lebih baik dari Netflix, tidak bisa nonton di tv, juga download nya 2 hari hilang tak bisa diputar ofline",3,2025-01-05 09:45:21,better netflix cant watch tv also downloads day missing played offline
"Aplikasi error gk jelas, gk bisa di pake mohon di perbaiki tidak support ke s24 ultra ya?",1,2025-01-05 07:30:46,error application clear used please fix support ultra huh
more expensive.,1,2025-01-05 07:13:45,expensive
"baru pertama download harus berlangganan setiap film yang mau di putar,,dimana sih yang gk ada berlangganan nya biar kita bisa nonton.. udah langganan 65.000 katanya belum bisa muter filmnya...aneh nhi aplikasi Disney...",1,2025-01-05 03:51:31,first time download must subscribed every film want play hell subscription watch already subscribed said could turn around film strange nhi disney application
"Gimana nih min, malam ini saya berlangganan. Login bs, tp pas mau di setel filmnya kenapa kembali kehalaman depan dan diarahkan berlangganan. Tlg diperbaikilah",1,2025-01-04 13:33:13,min tonight subscribe login b want set film go back front yard directed subscribe tlg fixed
"pas lagi nonton sering ngelag² sendiri padahal jaringan lagi bagus, percuma harga mirip-mirip platform sebelah tapi kualitasny begini",1,2025-01-04 12:20:55,watching often slag alone even though network good useless price similar platform next door quality like
apk nya apaan dh gniat?,1,2025-01-04 11:38:30,showcase generous girl
Apa sihhh masa harus bayar dan juga daftar ny ga bisa² padahal udah peke email atau nomer udah berulang² kali aku daftar tetep aja ga bisa gimana si tolol,1,2025-01-04 02:19:40,time pay also list ny cant even though already worked email number already repeatedly registered cant cant stupid
Sungguh bagus dan oke gan,5,2025-01-03 18:29:51,really good okay bro
"Kdrama the light in your eyes tiba tiba gak ada, padahal tadi siang baru ditonton, aneh, uda bayar",1,2025-01-03 13:56:21,kdrama light eye suddenly even though afternoon watched weird already paid
Ew,1,2025-01-03 13:08:05,ew
LGBT mulu,1,2025-01-03 10:57:10,lgbt mulu
"mau login aja susah banget, eror mulu. tolong dibenerin aplikasinya.",1,2025-01-03 07:38:23,want log really hard error please correct application please
Sangat menarik sekali,5,2025-01-03 06:27:17,interesting
Banyak film banyak bobaa,1,2025-01-03 03:15:59,many movie
please fixed,1,2025-01-03 02:43:10,please fixed
Muahalllnya gak ketulungan,1,2025-01-02 23:18:11,muahalll ketulungan
Film nya ga lengkap,1,2025-01-02 15:45:33,film incomplete
"apk nya jelek jadi nyesel beli nya, padahal jaringan lancar tapi pas nonton lag terus",1,2025-01-02 13:02:12,apk bad buy network smooth watch
Jelek🤮,1,2025-01-02 10:19:10,sign
Saya sudah download dan juga sudah bayar tapi belum bisa nonton apapun. Tolong segera diperbaiki,1,2025-01-01 21:05:48,downloaded also paid cant watch anything please fix immediately
"Aplikasinya bagus, harganya hampir sama kayak Netflix. Filmnya bagus-bagus, sekeluarga puas nonton am aplikasi Disney+. Trimakasih Disney.",5,2025-01-01 15:01:27,application good price almost netflix film good family satisfied watching disneyapplication thank disney
Jelek,1,2025-01-01 10:57:18,sign
respon penanganan masalahnya cepat sudah tidak black screen lagi bagus bagus lanjutkan,5,2025-01-01 10:54:05,response handling problem fast black screen anymore good good continue
"Saya sudah kasih bintang 5, jadi Tolong dubbing film Deadpool & Wolverine kebahasa Indonesian pliss🙏........... karna aku suka film itu🙂‍↕️",5,2025-01-01 09:09:34,given star please dubbing film deadpool wolverine indonesian pliss language
Kenapa susah sekali loginnya. Padahal sudah dapat kode otp tapi tidak bisa masuk.,1,2025-01-01 07:44:30,hard login even though got otp code could enter
Tolong perbaiki akses film MARVEL tidak muncul film nya,1,2025-01-01 04:29:16,improve movie access film film doesnt appear
Berhenti berlangganan karena semua konten barunya harus ada WOKE agenda nya,1,2025-01-01 02:43:51,stop subscribing new content must woke agenda
Vidionya tidak bisa diputar..,1,2025-01-01 02:21:01,video cant played
Saya mau login error tulisannya ERR_UM-092. Sudah coba kirim email komplain namun tidak ada balasan.,1,2025-01-01 01:56:19,want log error writing errum ive tried sending complaint email reply
Good Jobs...👍👌,5,2024-12-31 19:03:21,good jobs👍👌
Sudah langganan. Tapi saat digunakan di AndroidTV tidak bisa...,1,2024-12-31 12:43:53,already subscribed used androidtv cant
Tolong tambahin fitur login pake email dong,3,2024-12-31 08:36:36,please add login feature using email dong
"Kenapa tiba tiba saat putar videonya malah blank warna hitam, padahal baru seminggu berlangganan dan baru pertama kali berlangganan langsung seperti ini saya sangat sangat kecewa",1,2024-12-31 08:31:15,suddenly playing video instead black blank even though week subscribed first time subscribe directly like disappointed
Saya bayar bulanan tapi sudah 2 minggu ga bisa d pake selalu koneksi koneksi saya buka aplikasi lainnya bagus2 aja tuh rugi langganan ampun deh sering banget begini,1,2024-12-31 07:58:22,pay monthly week cant use always use connection open application good loss
Sebenarnya dulu bersaing banget paketnya awal awal murah banget 10rb-20rb.. Sekarang malah mehong banget kayak harga streaming sebelah 65rb.. Malah Streaming sebelah suka ada promo.. Ini kadang malesin OTP suka lama.. Lama2 goodbye dengan adanya streaming plus layanan live olahraga..,1,2024-12-31 06:44:08,actually package competing beginning beginning beginning cheap thousand thousand really mehong like price streaming next rb fact streaming next door like promos sometimes lazy otp like long time long goodbye streaming plus sport live service
"Pustaka filmnya kebanyakan film'2 lawas, sepertinya tertinggal dari bbrp apk streaming lain. Mohon perbaharui perpustakaan kalian...",2,2024-12-31 03:38:34,film library mostly old film seems left behind streaming apk please update library
Knp setiap saya longin ad aj🗿,1,2024-12-31 03:12:25,every time go long
"Layarnya kok Hitam ? Udah di uninstall tetap aja masih hitam, diperbaiki ddong disney, udah berlangganan juga",1,2024-12-31 02:34:50,come screen black already uninstall still still black repaired ddong disney already subscribed
"Beda sama netflik,kalo netflik masuknya gampang,,di Disnep susah,mn filmnya juga kurang bgus",2,2024-12-30 22:48:47,different netflik netflik entry easy disnep difficult film also bad
Dah mahal di hp saya gak bs log in aplikasinya.lewat web bisa.lapor cs pun masalahnya gak selesai.sungguh app tidak berguna,1,2024-12-30 22:00:57,already expensive cellphone log application
Jelek banget sumpah mana bayar yg ga bayar cuma 13 dtik doang,1,2024-12-30 15:17:48,really ugly oath paying paying dtik
wkwk jadi bintang 1,2,2024-12-30 10:08:22,wkwk become star
Kenapa paket bulanan 650000 transaksi erro orreh 04,3,2024-12-30 09:43:25,monthly package transaction erro orreh
Hari ini adalah daftar putar remix hari ini adalah daftar dia akan diam diam diam diam diam diam diam dan menunggu proses difusi b b aja deh ya kak untuk nomornya dan untuk tagihan kartuHalo silakan infokan no HP ready ya tks DK badi g ada di dalam atau kayu dan untuk jadi yang lebih besar daripada kemampuanmu baik dari hari tu lembut kan aku tak suka orang lain tak suka dia kan ya jfb tanpa mention ke miminmiming y gk mau mensupport t mulai dari harga murah di abad ke dalam kayu yang lebih baik,5,2024-12-30 08:03:29,today remix play list today list secretly secretly secretly silently wait diffusion process b b si number kartuhalo bill please inform mobile number ready dont want support cheap price starting cheap price century better wood
tidak cocok untuk anak kecil yang mau nonton harus berlangganan semua,3,2024-12-30 03:38:53,suitable small child want watch must subscribe
Tolong lah ini ga nyaman banget nonton loading ga jelas. Kalo bukan karena Marvel juga ogah,1,2024-12-30 02:37:07,please isnt comfortable watching loading unclear marvel reluctant
𝙸𝚗𝚒 𝚊𝚙𝚕𝚒𝚔𝚊𝚜𝚒 𝚊𝚙𝚊 𝚔𝚊𝚢𝚊𝚔 𝚔𝚘𝚗𝚝𝚘𝚕,1,2024-12-30 01:56:07,𝙸𝚗𝚒 𝚊𝚙𝚕𝚒𝚔𝚊𝚜𝚒 𝚊𝚙𝚊 𝚔𝚊𝚢𝚊𝚔 𝚔𝚘𝚗𝚝𝚘𝚕
Terlalu lama kirim kode,1,2024-12-29 21:40:37,long send code
"apk yang aneh, pertama kali saya berlangganan apk ini ga ada masalah, namun setelah berlangganan yang ke 2 kalinya baru timbullah beberapa masalah seperti Layar Hitam - Video Jalan namun tetap layar hitam, sungguh merugikan costumers ayolah kita bukan orang yang super duper kaya untuk donasi 65rb untuk perusahaanmu bung, kita butuh hiburan dan tolong cepat perbaiki masalah ini,jika kalian tidak bisa me-refund biaya yang kami keluarkan",1,2024-12-29 10:43:48,strange apk first time subscribed apk problem subscribing second time problem black screen road video still black screen really detrimental let super duper person
"Sering eror, tiba-tiba putus padahal koneksi bagus, Tiba-tiba hilang karena dinyatakan kebanyakan perangkat. Bosok",1,2024-12-29 05:26:32,often error suddenly broke even though good connection suddenly disappeared device declared bosok
jelek anjg susah bgt cokkk mau login anjgg anjg apk tolol,1,2024-12-29 04:21:47,ugly really hard
"Kenapa pas di masukin no yg SDH di daftarkan ke premium TDK bisa ,,, Tolong Di perbaiki,, Kalau tidak kembalikan uang yg sudah kami bayar",1,2024-12-28 18:51:26,right number already registered premium cant please fix doesnt return money paid
Harganya jadi mahal,2,2024-12-28 16:34:27,price expensive
"Gk jelas gk bisa login, masukan otp bermasalah di cri bantuan malah error gk bisa hubungi",1,2024-12-28 12:16:03,cant clearly able log enter problematic otp cri aid even error contacted
"bagus sih, tapi begimana inii tulisannya bayar langganan besok (29 Desember) tapi kenapa tadi otomatis kebayar? tolong bisa direfund atau tidak?",3,2024-12-28 08:57:04,good say writing paying tomorrow december automatically paid refund
Pantesan udah ga dipake telkomsel lagi haha..,2,2024-12-28 07:12:07,wonder used telkomsel anymore haha ​​
bagus,4,2024-12-28 04:50:05,good
Apk tolol,1,2024-12-28 04:32:29,stupid apk
"Udah beli paket yang premium sebulan, malah waktu nonton layarnya hitam semua",1,2024-12-27 23:20:20,ive bought premium package month instead watching screen black
Nice On My Samsung Galaxy M14 5G 🇲🇨,5,2024-12-27 22:31:23,nice samsung galaxy g 🇲🇨
uninstall aja,1,2024-12-27 18:29:57,uninstall aja
"Saya baru saja berlangganan paket basic, tapi kenapa saat masuk status akun saya tentap pengguna gratis... Sudah saya ulang keluar masuk,bahkan. Update tetap saja tidak bisa digunakan.. Sangat mengecewakan...",1,2024-12-27 16:26:48,subscribed basic package entered account status tading free user repeated even update still cant used disappointing
Jeleg,1,2024-12-27 14:46:47,deer
Pendukung elgibiti,1,2024-12-27 14:43:59,elgibiti supporter
kok ga ada film the return of jafar?,3,2024-12-27 13:01:17,kok ga ada film return jafar
Baru download..sdh punya akun sblmnya ...pas mau Login susah amat...klik bantuan malah server error,1,2024-12-27 13:00:57,downloadedsdh account want login difficult click help instead server error
Sering eror. Mau masuk aja eror terus,1,2024-12-27 04:55:21,often error want enter error time
Gabut aja ikut ikut rating satu😹😹,1,2024-12-27 00:10:10,gut joined rating one😹😹
Film nya bagus bagus,5,2024-12-26 13:16:55,movie good
Sampah banyak bug SU.,1,2024-12-26 12:55:36,garbage many bug su
"Susah diputar, kualitas video jelek, yang paling utama apk nya motong dana otomatis,, kualitas buruk , filmnya tidak ada yang jelas",1,2024-12-26 12:09:50,hard play quality video bad importantly apk cut automatic fund poor quality film clear
SAMPAH!!!! KUALITAS MAKIN MEMBURUK,1,2024-12-26 08:31:41,rubbish quality getting worse
Burikkk,1,2024-12-26 07:24:25,burikkk
Kenapa ga bisa login pake nomor njirr,1,2024-12-26 06:27:37,cant log using njirr number
Sangat sangat bagus,5,2024-12-26 05:04:05,good
Bagus,5,2024-12-26 04:42:24,good
Setiap mau nonton layar nya hitam semua,2,2024-12-26 03:13:17,every time want watch screen black
Nyeri flim masa gk ada atau gmn kh padahal tulisan ny dh betul,1,2024-12-26 03:07:50,flim pain exist even though writing correct
"Saya gak tau ini karena hp saya atau bukan tapi pertama kali saya langganan itu gak ada eror sama sekali. Saya baru langganan lagi lalu baru 3 hari erornya banyak banget -Layar hitam doang pas mau nonton -Subtitlenya delay -Layar hitam, suaranya jalan namun hp saya sampe gak bisa sentuh apapun Rugi banget nih langganan Disney. Tau gitu langganan Aplikasi merah, eror jarang banget gak kaya nih aplikasi 1 yang hampir buat hp saya rusak total.",1,2024-12-26 03:06:18,dont know cellphone first time subscribed error subscribed day error much black screen want watch subtitle black delay sound walking cellphone cant touch anything loss disney subscription know red application subscription error rarely really like application almost cellphone totally damaged
menurut saya disney+ hotstar susah cari genre film,4,2024-12-26 01:32:58,think disney hotstar hard find film genre
"Gak bisa nonton padahal udah berlangganan,",1,2024-12-25 22:56:15,cant watch even though subscribed
"Tolong yaa perbaikannya untuk payment via Telkom, pdhl pulsanya lebih dari nominal tercantum tpi "" tidak mencukupi "" gatau juga dh gmna ituuu",4,2024-12-25 14:45:41,please improve improvement payment via telkom pulse nominal listed tpi sufficient gatau
"filmnya makin ketinggalan sama dibanding netflix.. ga ada yg seru, kacau..",1,2024-12-25 07:25:03,film getting compared netflix nothing exciting chaotic
"Saya pernah berlangganan, kualitas video tidak pernah bagus",1,2024-12-25 05:00:38,subscribed quality video never good
Aku gak bisa nonton ni premium?😒🙏🏻,1,2024-12-25 02:24:14,cant watch premium 😒🙏🏻
susah dibuka. kelamaan loding. boros memori. kadang ga da gambarnya hrs restart hp dulu,3,2024-12-24 14:07:00,hard open time loding wasteful memory sometimes picture must restart cellphone first
Nyesel pake aplikasi ini banyak eror mulu sdh tmbah mahal sering eror2 mlu,1,2024-12-24 12:58:02,regardless app many eror mulu sdh tmbah expensive often eror mlu
"aplikasi gajelas, di web sm tv bisa login. di aplikasinya malah error gagal terus loginnya",1,2024-12-24 11:23:52,gajlelasian application sm tv web log application error failed continue login
sok sokan buat aplikasi.,1,2024-12-24 09:32:12,see application application
Aneh banget ga bisa daftar ga bisa log in,1,2024-12-24 07:54:00,really weird cant register cant log
"aplikasi bobrok udah berlangganan mahal mahal, malah gabisa nonton karena layarnya hitam",1,2024-12-24 06:31:10,bobrok application already expensive cant watched screen black
